201902
武陵区	11.6	13.4	10.4
鼎城区	20.3	29.5	9.6
安乡县	18.3	11.7	9.1
汉寿县	14.2	12.2	10.2
澧  县	23.9	22.2	10.5
临澧县	10.0	12.9	8.7
桃源县	23.7	26.5	10.0
石门县	14.3	15.6	9.9
津市市	19.4	12.9	10.3
201812
武陵区	3.5	154.8	12.0
鼎城区	10.4	207.9	10.9
安乡县	15.5	78.8	10.4
汉寿县	13.9	88.7	11.8
澧  县	8.5	144.8	11.9
临澧县	1.3	69.1	9.9
桃源县	17.1	181.7	10.8
石门县	13.5	133.5	11.7
津市市	1.3	73.7	10.8
201811
武陵区	4.8	136.8	12.1
鼎城区	10.6	186.2	10.6
安乡县	15.8	71.2	10.8
汉寿县	15.1	74.0	11.8
澧  县	7.1	129.8	12.0
临澧县	0.5	61.9	10.1
桃源县	20.3	155.2	10.7
石门县	17.3	118.0	11.7
津市市	-11.5	64.5	10.7
201810
武陵区	7.9	119.8	12.2
鼎城区	1.4	163.2	10.5
安乡县	16.6	62.7	10.9
汉寿县	15.9	60.2	11.9
澧  县	15.7	114.3	12.1
临澧县	-4.1	55.5	10.2
桃源县	19.9	132.9	10.7
石门县	14.4	102.4	11.8
津市市	-16.2	56.8	10.8
201809
武陵区	10.3	104.9	12.2
鼎城区	15.9	142.9	10.7
安乡县	12.0	55.0	10.9
汉寿县	15.2	48.9	11.9
澧  县	21.6	99.4	12.0
临澧县	-6.7	49.3	10.1
桃源县	14.5	119.1	10.5
石门县	13.5	87.4	11.8
津市市	-18.7	49.4	10.7
